ANO,MS,DI,HR,1200535,1200579,1210762
2018,1,6,12,-990.0,1843.4,1381.7
2018,1,6,13,-990.0,1513.4,925.0
2018,1,6,14,-990.0,1100.9,1112.3
2018,1,6,15,-990.0,1684.0,1159.3
2018,1,6,16,-990.0,1131.2,781.0
2018,1,6,17,-990.0,271.2,295.3
2018,1,6,18,-990.0,9.2,14.6
2018,1,6,19,-990.0,.0,.0
2018,1,6,20,-990.0,.0,.0
2018,1,6,21,-990.0,.0,.0
2018,1,6,22,-990.0,.0,.0
2018,1,6,23,-990.0,.0,.0
2018,1,7,0,-990.0,.0,.0
2018,1,7,1,-990.0,.0,.0
2018,1,7,2,-990.0,.0,.5
2018,1,7,3,-990.0,.0,.0
2018,1,7,4,-990.0,.0,.0
2018,1,7,5,-990.0,.0,.0
2018,1,7,6,-990.0,.0,.0
2018,1,7,7,-990.0,.0,.0
2018,1,7,8,-990.0,.5,.0
2018,1,7,9,-990.0,239.6,148.6
2018,1,7,10,-990.0,873.5,661.1
2018,1,7,11,-990.0,1413.7,1157.2
2018,1,7,12,-990.0,1843.4,1501.1
2018,1,7,13,-990.0,2010.4,1677.6
2018,1,7,14,-990.0,1323.5,1534.5
2018,1,7,15,-990.0,1399.2,1285.3
2018,1,7,16,-990.0,1058.8,935.7
2018,1,7,17,-990.0,487.3,419.0
2018,1,7,18,-990.0,42.0,24.3
2018,1,7,19,-990.0,.0,.0
2018,1,7,20,-990.0,.0,.0
2018,1,7,21,-990.0,.0,.0
2018,1,7,22,-990.0,.0,.0
2018,1,7,23,-990.0,.0,.0
2018,1,8,0,-990.0,.0,.0
2018,1,8,1,-990.0,.0,.1
2018,1,8,2,-990.0,.0,.0
2018,1,8,3,-990.0,.0,.0
2018,1,8,4,-990.0,.0,.0
2018,1,8,5,-990.0,.0,.0
2018,1,8,6,-990.0,.0,.0
2018,1,8,7,-990.0,.0,.0
2018,1,8,8,-990.0,2.0,.3
2018,1,8,9,-990.0,262.8,157.4
2018,1,8,10,-990.0,870.5,664.1
2018,1,8,11,-990.0,1404.2,1125.9
2018,1,8,12,-990.0,1805.1,1469.8
2018,1,8,13,-990.0,1958.6,1610.5
2018,1,8,14,-990.0,1900.7,1591.9
2018,1,8,15,-990.0,1567.2,1362.0
2018,1,8,16,-990.0,1016.2,923.0
2018,1,8,17,-990.0,440.0,396.1
2018,1,8,18,-990.0,34.7,25.3
2018,1,8,19,-990.0,.0,.0
2018,1,8,20,-990.0,.0,.0
2018,1,8,21,-990.0,.0,.0
2018,1,8,22,-990.0,.0,.0
2018,1,8,23,-990.0,.0,.0
2018,1,9,0,-990.0,.0,.0
2018,1,9,1,-990.0,.0,.0
2018,1,9,2,-990.0,.0,.0
2018,1,9,3,-990.0,.0,.0
2018,1,9,4,-990.0,.0,.1
2018,1,9,5,-990.0,.0,.0
2018,1,9,6,-990.0,.0,.0
2018,1,9,7,-990.0,.0,.0
2018,1,9,8,-990.0,.0,.0
2018,1,9,9,-990.0,17.2,13.0
2018,1,9,10,-990.0,60.6,60.8
2018,1,9,11,-990.0,120.7,134.0
2018,1,9,12,-990.0,196.4,121.3
2018,1,9,13,-990.0,354.4,248.6
2018,1,9,14,-990.0,484.0,241.5
2018,1,9,15,-990.0,308.4,177.3
2018,1,9,16,-990.0,366.8,409.6
2018,1,9,17,-990.0,288.4,242.8
2018,1,9,18,-990.0,43.8,42.0
2018,1,9,19,-990.0,.0,.0
2018,1,9,20,-990.0,.0,.0
2018,1,9,21,-990.0,.0,.0
2018,1,9,22,-990.0,.0,.0
2018,1,9,23,-990.0,.0,.0
2018,1,10,0,-990.0,.0,.0
2018,1,10,1,-990.0,.0,.0
2018,1,10,2,-990.0,.0,.0
2018,1,10,3,-990.0,.3,.9
2018,1,10,4,-990.0,.0,.2
2018,1,10,5,-990.0,.0,.0
2018,1,10,6,-990.0,.0,.0
2018,1,10,7,-990.0,.0,.0
2018,1,10,8,-990.0,1.2,2.1
2018,1,10,9,-990.0,140.1,104.1
2018,1,10,10,-990.0,592.3,645.4
2018,1,10,11,-990.0,1151.0,1171.4
2018,1,10,12,-990.0,1631.6,1234.6
2018,1,10,13,-990.0,548.9,566.2
2018,1,10,14,-990.0,1249.1,745.9
2018,1,10,15,-990.0,1143.3,889.3
2018,1,10,16,-990.0,782.0,729.3
2018,1,10,17,-990.0,485.0,405.3
2018,1,10,18,-990.0,39.5,30.5
2018,1,10,19,-990.0,.0,.0
2018,1,10,20,-990.0,.0,.0
2018,1,10,21,-990.0,.0,.0
2018,1,10,22,-990.0,.0,.0
2018,1,10,23,-990.0,.0,.0
2018,1,11,0,-990.0,.0,.0
2018,1,11,1,-990.0,.0,.0
2018,1,11,2,-990.0,.0,.0
2018,1,11,3,-990.0,.0,.0
2018,1,11,4,-990.0,.0,.0
